,Differnce (|)
0,5.8481911645346
1,3.9622034899403786
2,3.369381143207084
3,3.1579419182517854
4,3.0593044617975305
5,3.0225447919405486
6,2.99083964491422
7,2.971085636280405
8,2.9564880068654107
9,2.9468123180621815
10,2.941646665146529
11,2.9291284447684727
12,2.922490047022788
13,2.9153222838327855
14,2.9115232942521136
15,2.912098974132048
16,2.9174475242625415
17,2.91534408754591
18,2.9203241301809184
19,2.924012061906743
20,2.9225571093395355
21,2.929224744995121
22,2.9274822493182313
23,2.9158099743220816
24,2.913658131905963
25,2.9198621023605296
26,2.917329512234363
27,2.902856755247212
28,2.9012954463860967
29,2.9188173107343114
30,2.911832134973186
31,2.9083833824915377
32,2.913610171035574
33,2.9056519062115433
34,2.9125992032762427
35,2.915045484271478
36,2.910513873088087
37,2.920540271971065
38,2.9108839847435917
39,2.9158102756027136
40,2.9046107438374604
41,2.907421298224955
42,2.9023387119831408
43,2.9105247276621253
44,2.8935452854488233
45,2.907190215504012
46,2.907927330462259
47,2.9175144861932694
48,2.9162389805548883
49,2.9139837237121293
50,2.9050988194778933
51,2.905677821935873
52,2.9064940935851133
53,2.918979325314697
54,2.8981941199192773
55,2.9060735818495385
56,2.911049459493189
57,2.910172893115329
58,2.9019420984332176
59,2.904406246722124
60,2.8953717544094837
61,2.9043644482526387
62,2.8973660170082893
63,2.896466067781136
64,2.902607167672966
65,2.897124714991334
66,2.8893541614982117
67,2.9041896141003685
68,2.8975838571366124
69,2.9101851636796305
70,2.898377180343715
71,2.9059836571280773
72,2.9095016011647346
73,2.896641063119286
74,2.8992008582996585
75,2.9044333498893087
76,2.9037548343773993
77,2.9053390634379195
78,2.9051360036835256
79,2.9034901022473525
80,2.9026526301780655
81,2.9100346442689027
82,2.8971190030984535
83,2.898088086969261
84,2.9207271446586613
85,2.9140491629989596
86,2.9154175170063747
87,2.9065054502575625
88,2.9083762407043077
89,2.912005184008749
90,2.8971907468523237
91,2.9014129958388124
92,2.9065821064427393
93,2.904815443576336
94,2.897623438632462
95,2.902199269868321
96,2.9087843561431903
97,2.902162823285431
98,2.89762812210982
99,2.9041945736163006
