Local (+),Global (+),Differnce (+)
5.827457735,5.454487462,5.810945635
4.840239571,3.674842873,3.962782883
4.577297741,3.105453515,3.336039926
4.794075904,3.011361264,3.15152295
5.103449985,2.993253838,3.04653949
5.297572751,2.985668318,3.016417308
5.567598909,2.980063333,2.986198497
5.771751184,2.984550858,2.97408059
5.877325363,2.978443584,2.970798549
5.968042689,2.973330389,2.952427746
6.055050433,2.966472468,2.951595541
6.201074002,2.979054858,2.94095109
6.327306191,2.981636169,2.941389703
6.453140123,2.985044177,2.925148818
6.507770165,2.990287065,2.920669786
6.582519931,2.97289352,2.931897811
6.687604712,2.971250012,2.931524167
6.714928458,2.958725741,2.929861189
6.804044509,2.962329487,2.923609027
6.855221377,2.961560972,2.906333931
6.913147911,2.967821619,2.901507219
7.020058363,2.968894737,2.91294799
7.034986821,2.96458113,2.905668734
7.093940195,2.969590146,2.923486877
7.117216193,2.956665433,2.911854367
7.131334996,2.957074432,2.914881669
7.166456343,2.953325756,2.921780594
7.200430515,2.948940341,2.928961456
7.246938757,2.930887309,2.919901333
7.254387795,2.931565375,2.918902268
7.280924456,2.946391515,2.92730149
7.294771654,2.942719011,2.907622008
7.314517533,2.943126521,2.911893002
7.354045253,2.9391342,2.918467358
7.355332081,2.930239305,2.908963763
7.378451915,2.93916232,2.927947159
7.396671651,2.947144137,2.916024736
7.403465544,2.943030173,2.911024978
7.407536794,2.943985975,2.904739186
7.415505804,2.943637458,2.91335923
7.432929429,2.944666155,2.921037454
7.423331164,2.935510947,2.927218824
7.448026984,2.936849604,2.916592081
7.454892672,2.947937446,2.914115646
7.463536901,2.944382782,2.91184759
7.490755978,2.949355581,2.913072598
7.494561061,2.953704802,2.904753413
7.504665929,2.950826582,2.90779306
7.510689559,2.953456607,2.910529061
7.494204681,2.944695446,2.917042449
7.510772443,2.940511469,2.910205964
7.502971995,2.93230448,2.910097919
7.50801391,2.938815103,2.910049472
7.519582688,2.931058715,2.899518792
7.536916964,2.929457714,2.923250118
7.524239802,2.930644947,2.918268449
7.546989151,2.934075521,2.911339172
7.52892307,2.929253459,2.918065639
7.531160806,2.936743278,2.907255914
7.542116612,2.932384197,2.916438731
7.539888613,2.925086688,2.907449334
7.557547529,2.936425793,2.907058716
7.542714004,2.945331477,2.920953897
7.558657463,2.938633053,2.9143375
7.578846946,2.931029579,2.918652595
7.588995081,2.945205139,2.916926649
7.593992571,2.948917851,2.914342426
7.579749333,2.941203277,2.895487339
7.591028449,2.954374757,2.901053711
7.620230885,2.941585514,2.908014795
7.622539361,2.930609675,2.905998763
7.612463578,2.934825862,2.913970513
7.618764166,2.944640503,2.916111687
7.633001862,2.921477051,2.908735743
7.629353905,2.93487613,2.925864827
7.630284415,2.942342537,2.913223479
7.640176813,2.934166937,2.908948282
7.628783924,2.936881953,2.920788998
7.633892787,2.942644898,2.917490795
7.628524594,2.938858303,2.910673253
7.651942527,2.939160162,2.906254713
7.651301222,2.946678521,2.895150515
7.641363672,2.938216757,2.88818751
7.651063568,2.932662938,2.898450473
7.65294706,2.938009783,2.901872097
7.662807185,2.926632911,2.904488656
7.642442989,2.932839744,2.906105917
7.63955715,2.938336983,2.909504886
7.657741499,2.951462886,2.899366068
7.659821969,2.947423268,2.89539404
7.672216226,2.932910126,2.8907471
7.668187587,2.944029781,2.89101208
7.662094949,2.943010058,2.897057384
7.667222067,2.937899233,2.896145935
7.684493549,2.944484306,2.901950954
7.678351564,2.948862296,2.903389284
7.684454155,2.936511386,2.908283496
7.68810103,2.929903104,2.904830395
7.684930451,2.936943631,2.913990909
7.68267091,2.938940594,2.911784223
