,Differnce (+)
0,5.810945635151504
1,3.9627828832226557
2,3.336039925616755
3,3.151522950171444
4,3.0465394900046086
5,3.01641730794032
6,2.986198496512296
7,2.9740805895550113
8,2.9707985492705222
9,2.9524277455291354
10,2.95159554122949
11,2.940951089864015
12,2.941389703418494
13,2.9251488180877696
14,2.9206697861159934
15,2.9318978112781826
16,2.931524167463733
17,2.9298611892450284
18,2.9236090273390998
19,2.906333931357947
20,2.9015072189017554
21,2.9129479900502737
22,2.905668733825452
23,2.923486877401962
24,2.9118543673755024
25,2.914881669390328
26,2.921780594061476
27,2.9289614562188273
28,2.919901333174916
29,2.9189022675008163
30,2.92730148993983
31,2.907622007920715
32,2.9118930024309857
33,2.9184673576289994
34,2.908963762842966
35,2.927947159374171
36,2.9160247357547076
37,2.91102497790497
38,2.9047391861916845
39,2.913359229567835
40,2.9210374540719863
41,2.9272188243122583
42,2.9165920813753257
43,2.9141156461156346
44,2.911847589791855
45,2.913072597593162
46,2.9047534132872506
47,2.90779305979838
48,2.9105290610549677
49,2.9170424488527864
50,2.9102059641265634
51,2.9100979190037504
52,2.910049471750507
53,2.8995187916013667
54,2.9232501184907442
55,2.9182684493849704
56,2.911339171763434
57,2.9180656394204787
58,2.9072559138044367
59,2.9164387305611768
60,2.9074493344449657
61,2.9070587155042813
62,2.920953897438994
63,2.9143374996402893
64,2.9186525951584357
65,2.9169266485663137
66,2.914342426441241
67,2.8954873393058023
68,2.901053710525819
69,2.908014795021691
70,2.9059987634868127
71,2.9139705128038673
72,2.9161116872599973
73,2.908735742646089
74,2.9258648274935455
75,2.913223479399761
76,2.9089482817814254
77,2.9207889980826667
78,2.9174907947949147
79,2.9106732533912147
80,2.9062547128811382
81,2.895150515327435
82,2.888187510250023
83,2.8984504734572094
84,2.9018720973769736
85,2.90448865576419
86,2.9061059166033427
87,2.9095048862873107
88,2.8993660683178075
89,2.895394040088786
90,2.8907471003785674
91,2.89101207973299
92,2.897057384148967
93,2.8961459351802374
94,2.9019509535760397
95,2.9033892839764657
96,2.908283495617184
97,2.9048303954507726
98,2.913990908977147
99,2.9117842233285125
