,Difference (+)
0,17426632366.886425
1,2739362.3529368993
2,25009.150977784746
3,3396.1462683302666
4,1998.402339149826
5,6262.681313782099
6,898.1973039988426
7,589.7172261526354
8,1442.5161994449459
9,329.8835002892754
10,351.16570703508535
11,574.310557612132
12,174.22487459171612
13,344.8919378443871
14,1017.1380405950007
15,148.21846049192723
16,219.82173713659995
17,393.4134930238839
18,197.6781290655328
19,322.1741213579273
20,491.4633112504937
21,319.6145554538068
22,152.55750929904988
23,418.8888197721524
24,206.89148953970357
25,247.61274524702677
26,159.65437113264812
27,285.49809671208084
28,160.56736003440284
29,189.9781407844186
30,147.25541620920754
31,401.23376341402246
32,265.1571243639531
33,132.89205840356792
34,114.48426738121805
35,205.33525201449473
36,149.150998367844
37,164.70209317576257
38,62.267908044921896
39,99.58414704447569
40,76.58587696647147
41,191.18703372962466
42,122.54475611009632
43,108.8300620658832
44,115.14249656030388
45,61.77225326653885
46,90.70338511916236
47,169.5102679093194
48,102.13708193226884
49,82.9065812535323
50,103.70688816907261
51,78.19948796801037
52,293.39613156798646
53,77.91495273723312
54,104.85686697593415
55,100.79036785299454
56,169.5438716784743
57,109.84457114841412
58,51.178727707748415
59,117.67202980136895
60,75.98871748098549
61,51.86056330231618
62,101.19008785276492
63,162.41879953950726
64,60.64715831205903
65,84.90913832045324
66,113.83368561148126
67,261.0560896530153
68,263.02912821513297
69,42.949179671944584
70,101.52769561687435
71,103.87918443360708
72,432.25600052121655
73,174.46885256018402
74,1242.4023671569414
75,142.61774788003018
76,134.00993160653263
77,97.64034078463737
78,166.63435482137356
79,75.21188852645865
80,80.94541021590878
81,99.54546910515766
82,84.54443175680703
83,114.8889941068627
84,139.43796427416765
85,163.16434632247135
86,79.84305069281815
87,119.16896236868497
88,117.01087029317445
89,59.97609802676848
90,74.81843723033013
91,80.3452094270384
92,53.01099339940431
93,122.63780383889609
94,55.94470459482143
95,147.5067149505168
96,70.298829234876
97,87.40619843655328
98,70.53001197131954
99,74.00339563842277
