,Global (+)
0,15108691362.908813
1,2010300.7351779651
2,1280.5909727073229
3,522.7583334421736
4,281.33659913422366
5,411.10880224082246
6,181.8801795545987
7,229.7425055418527
8,197.53714971616083
9,132.15541197334267
10,201.9751885374422
11,145.5814034048579
12,429.8766870421081
13,90.25288584865037
14,114.42690689497533
15,220.7071757102247
16,110.8964138386901
17,199.77657988689728
18,334.31743016515713
19,82.1816112056424
20,144.9266470881355
21,198.08765676701813
22,285.41671275802383
23,148.49741929374375
24,110.28530682732182
25,128.671837377091
26,227.6698405425527
27,185.70804477873378
28,199.0197630255178
29,125.47506152598481
30,225.20860214981684
31,114.14228689094116
32,192.4499045950241
33,172.4815994572668
34,76.78440998700995
35,559.6682848489852
36,131.71558222074066
37,113.90051136318222
38,125.63040138556634
39,217.806648454719
40,132.4286789511648
41,276.82078049019805
42,107.58647902400375
43,138.54003020797822
44,88.9332104669253
45,139.55131715515137
46,146.39392085123748
47,209.8729239709151
48,102.66043367883329
49,172.75692231096102
50,114.91056821288467
51,146.54664960254064
52,257.26859972154864
53,234.16258691832314
54,604.5823722308797
55,159.3266429238291
56,117.9605819696782
57,287.8874604777036
58,109.59721152405376
59,86.44691158398949
60,175.68770180935297
61,201.50827613635286
62,251.66400962084225
63,280.4584237228778
64,72.44110429596289
65,131.38881725714305
66,495.5440443880279
67,136.98703908727722
68,1295.8564303744465
69,229.32863826443315
70,373.4449637807545
71,327.0251803830058
72,132.13240161445574
73,60.97575741883221
74,282.03521743473647
75,117.82907712756275
76,193.21296447749953
77,189.06366866522006
78,164.13363843583306
79,125.93662960412031
80,94.74123110043296
81,71.30460681285543
82,106.38373218537852
83,178.31902192485023
84,233.88931860338008
85,135.72564872619512
86,97.43279772341802
87,82.46400423776646
88,115.5515193519863
89,107.55062717107865
90,159.81401917487145
91,182.5910748460139
92,94.57171639671112
93,163.4330114659219
94,92.47966421969659
95,321.5390660003425
96,95.449266853261
97,89.23514640441987
98,174.12510551577958
99,103.77033713356239
