,Local (|)
0,5.821202279422085
1,4.819807349249575
2,4.542685020854263
3,4.7403184217706515
4,5.016109709543742
5,5.250897324319456
6,5.4874893232890045
7,5.764284266654882
8,5.8328751206624
9,5.910843801399194
10,6.048327449316158
11,6.197052221976374
12,6.329795778238705
13,6.427247155320694
14,6.507583890677837
15,6.590648578720941
16,6.649514918152627
17,6.735087710902155
18,6.803446821704716
19,6.879922911877552
20,6.958262740081946
21,7.023017544154071
22,7.0497416384646945
23,7.079163563383966
24,7.13227619821369
25,7.143865187102449
26,7.181204687032118
27,7.223934067564773
28,7.244481702807573
29,7.2844272467278195
30,7.304012190174802
31,7.325892384270547
32,7.345057342244163
33,7.375635539479524
34,7.374226667166264
35,7.4044030259692954
36,7.412184090774288
37,7.409048257951728
38,7.4453089467764775
39,7.4272223319748765
40,7.44061090521167
41,7.457425647875258
42,7.45121084171977
43,7.500218292196471
44,7.506829380514973
45,7.498586921734902
46,7.529957099650492
47,7.517953814073533
48,7.531531417042502
49,7.526667751650271
50,7.522048066177296
51,7.556029245005073
52,7.54578964842895
53,7.545363567287594
54,7.55309850186751
55,7.552734309964375
56,7.566679352267726
57,7.5732247604115255
58,7.557413626095642
59,7.59324994342522
60,7.577931825416119
61,7.58986872093064
62,7.584089938375855
63,7.599409557845662
64,7.5907231338284715
65,7.6143945445219465
66,7.601429904540321
67,7.601769179744117
68,7.610855559764948
69,7.603585248403366
70,7.604112458233896
71,7.64390492817139
72,7.638710278012039
73,7.624765443625836
74,7.631451011578535
75,7.6402040286726045
76,7.647549239333975
77,7.653306440244621
78,7.634232124162451
79,7.654356980352005
80,7.633336413859044
81,7.64578028071058
82,7.644974021970046
83,7.645783695822391
84,7.655104349734331
85,7.664435506562822
86,7.6670885013523185
87,7.673513656913082
88,7.683261492625956
89,7.679698166853193
90,7.6745839266947256
91,7.68650287141001
92,7.675311907163006
93,7.676158127362901
94,7.693020735379865
95,7.683998521470751
96,7.669336635896092
97,7.697787524526619
98,7.700459431972322
99,7.704537142026202
